name,specialty,experience,hospital,location,rating,reviews,image_url
Dr. Alisher Shodiyev,Kardiolog,12 yil,1-Respublika klinik shifoxonasi,Toshkent sh.,5.0,"Juda malakali shifokor, dardimga malham topdilar.;Professional yondashuv va o'z ishining ustasi.;Barchaga tavsiya qilaman, juda e'tiborli doktor.;Muolajasi qisqa fursatda yordam berdi.;Rahmat shifokorga, sog' bo'lsinlar!",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Zilola Karimova,Terapevt,8 yil,Med Akademi Klinikasi,Toshkent sh.,4.9,"Mehribon va o'z ishini mukammal biladigan mutaxassis.;Barcha savollarimga batafsil javob oldim.;Aniq tashxis qo'yib, to'g'ri davo yozdilar.;Juda madaniyatli va e'tiborli shifokor.;Ishidan ko'nglim to'ldi.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Jamshid Tursunov,Nevrolog,10 yil,Shifo Nur Tibbiyot Markazi,Toshkent sh.,5.0,"Asab tizimidagi muammolardan tezda xalos qildilar.;O'z ishining haqiqiy mutaxassisi ekanliklari bilinib turadi.;Juda xushmuomala va bilimli doktor.;Tavsiya qilgan dorilari darhol yordam berdi.;Minnatdorman!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Malika Saidova,Pediatr,7 yil,Respublika Bolalar Shifoxonasi,Samarqand sh.,4.8,"Bolalar bilan tillashishni juda yaxshi biladilar.;Farzandim faqat shu doktorga ko'rinishni xohlaydi.;Malakali va mehribon bolalar shifokori.;Bergan maslahatlari juda foydali bo'ldi.;Rahmat sizga!",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Bobur Ahmedov,Stomatolog,9 yil,Dental Lux Klinika,Toshkent sh.,5.0,"Tish davolatishdan qo'rqadiganlar uchun eng zo'r tanlov.;Og'riqsiz va juda sifatli davoladilar.;Ishlari toza va ozoda ekan.;Hamma shifokorlar shunday bo'lsa qaniydi.;Ajoyib mutaxassis!",https://images.unsplash.com/photo-1622902046580-2b47f47f5471
Dr. Dilfuza Rahimova,Ginekolog,14 yil,3-sonli Tug'ruq Majmuasi,Toshkent sh.,4.9,"O'z ishining ustasi, juda tajribali mutaxassis.;Har bir narsani tushuntirib, maslahat beradilar.;Ishonchli va malakali doktor.;Xushmuomalaligi uchun alohida rahmat.;Juda mamnun bo'ldim.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Sanjarbek Normatov,Kardiolog,6 yil,Viloyat Kardiologiya Dispanseri,Samarqand sh.,4.8,"Yurak muammolari bo'yicha eng yaxshi mutaxassis.;Diqqat bilan eshitib, to'g'ri maslahat berdilar.;Muolajalari juda qo'l keldi.;Ishiga mas'uliyat bilan yondashadi.;Rahmat!",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Nilufar Usmonova,Endokrinolog,11 yil,Endokrinologiya Ilmiy-Tekshirish Instituti,Toshkent sh.,5.0,"Gormonal muammolarni tezda aniqlab, davoladilar.;Juda bilimli va tajribali shifokor.;Batafsil tushuntirib berishlari yoqdi.;Tavsiya qilaman.;O'z ishining mutaxassisi.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Farhod Rahimov,LOR,13 yil,Shahar 1-Klinik Kasalxonasi,Buxoro sh.,4.9,"Tomoq va burun muammolarini qiynamasdan davoladilar.;Juda tajribali va e'tiborli shifokor.;Qo'llari yengil ekan.;Barchaga tavsiya qilaman.;Rahmat!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Kamola Xamidova,Oftalmolog,8 yil,Zarmed Klinikasi,Samarqand sh.,5.0,"Ko'rish qobiliyatimni tiklashda katta yordam berdilar.;Zamonaviy usulda tekshiruvdan o'tkazdilar.;Juda xushmuomala doktor.;Ko'zoynak tanlashda professional yordam berishdi.;Katta rahmat!",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Rustam Qodirov,Terapevt,15 yil,Medion Tibbiyot Markazi,Toshkent sh.,4.7,"Tajribali shifokor, tashxisi aniq chiqdi.;Oddiy va tushunarli qilib tushuntirdilar.;Muolajasi tez ta'sir qildi.;Xushmuomala inson.;Rahmat!",https://images.unsplash.com/photo-1537368910025-700350fe46c7
